,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,60,4,118,3.76,4,141
1,17,2,6,1.42,1,0
2,90,62,143,1.25,1,220
3,26,5,25,0.39,1,297
5,180,6,6,0.15,1,137
6,70,90,23,0.23,3,129
8,90,60,48,0.47,2,159
11,129,3,56,0.75,1,166
12,70,60,60,0.61,2,129
13,98,3,61,0.59,2,257
15,65,60,96,0.94,1,275
16,90,3,18,0.18,2,3
17,90,4,5,0.05,2,15
19,70,90,28,0.29,3,191
20,90,5,30,0.33,1,55
21,60,2,1,0.02,10,341
22,130,60,69,0.7,3,221
24,44,1,28,4.94,1,361
25,62,3,144,1.44,1,343
26,55,60,1,0.01,1,89
27,40,1,33,1.63,2,297
28,25,5,21,0.21,1,329
31,80,84,102,1.03,10,221
32,80,10,6,0.06,1,310
33,50,3,50,0.62,2,0
34,43,2,70,0.7,1,0
35,40,1,1,0.02,1,0
36,36,1,25,0.32,2,217
37,119,4,109,1.14,1,285
38,90,5,65,0.66,2,186
39,42,3,11,0.12,1,65
40,56,2,101,1.02,1,32
42,48,60,38,0.48,2,264
43,160,3,35,0.35,1,32
45,88,5,5,0.07,1,0
48,90,2,1,0.01,1,67
49,55,60,11,0.16,1,285
50,200,3,81,0.84,3,68
52,49,2,3,0.03,1,0
53,55,90,72,0.88,1,352
54,130,5,32,0.37,2,211
55,90,5,76,0.85,2,149
56,120,2,7,0.13,4,86
57,37,6,96,1.28,2,347
58,52,2,89,1.16,3,323
59,44,3,45,0.5,2,123
60,102,2,34,0.39,1,0
61,29,2,70,0.91,1,58
63,80,3,37,0.55,2,349
65,185,4,59,0.76,1,359
66,49,2,69,0.75,1,28
67,155,4,39,0.43,1,286
69,70,3,71,0.8,3,225
71,70,3,2,1.54,1,139
73,75,3,47,1.09,3,328
74,80,2,44,0.48,1,365
76,114,10,57,0.63,4,109
77,60,2,44,0.48,1,2
78,506,3,112,1.24,2,0
80,82,60,91,1.0,2,319
81,80,3,59,0.66,1,363
82,60,3,68,0.77,1,236
83,70,4,114,1.33,2,194
84,130,3,53,0.74,1,140
85,69,2,3,0.05,1,344
86,75,14,3,0.06,1,310
87,68,60,84,0.93,1,266
88,125,7,5,0.06,1,0
89,70,2,26,0.49,1,340
91,59,2,16,0.37,1,302
92,96,1,148,1.67,1,202
95,55,30,55,0.63,1,312
96,70,3,107,1.41,1,50
97,31,183,39,0.45,1,324
98,40,2,47,0.54,1,84
99,81,1,10,0.26,1,342
100,52,3,127,1.61,1,341
101,100,180,4,0.04,1,282
102,36,90,95,1.06,1,1
103,88,5,45,0.53,1,291
105,100,10,3,0.08,1,325
106,161,2,43,0.57,1,222
107,65,2,5,2.11,1,214
108,70,2,103,1.36,1,42
109,29,150,71,0.8,2,359
110,80,5,12,0.14,1,253
112,49,2,6,0.08,1,159
113,59,1,28,0.35,2,16
114,30,1,13,0.32,1,0
115,23,5,15,0.88,1,190
116,40,5,5,0.07,1,362
117,35,7,48,0.63,1,89
118,70,4,84,1.73,1,320
119,80,2,33,0.38,1,0
120,42,1,1,0.03,1,0
121,96,60,31,0.37,4,0
122,75,60,56,0.71,4,280
123,96,60,41,0.5,4,364
124,76,60,81,0.98,4,0
125,46,60,8,0.09,2,309
126,296,1,18,0.31,3,331
127,244,1,17,0.2,3,333
128,20,1,11,0.48,1,0
129,50,3,1,0.03,1,1
130,59,2,39,0.49,1,96
131,75,2,71,0.83,1,243
132,170,2,118,1.42,1,244
133,39,60,18,0.23,1,202
136,35,15,15,0.19,1,0
138,375,2,36,0.86,3,224
139,29,7,14,0.16,1,258
140,32,62,51,0.65,1,205
141,45,2,2,0.03,4,86
142,120,3,7,0.13,4,86
144,59,3,63,1.03,1,130
145,86,1,4,0.17,4,87
146,45,28,14,0.16,1,0
147,100,3,63,0.79,2,325
148,80,4,79,0.9,1,0
149,50,2,3,0.04,2,242
150,49,1,40,0.75,1,0
151,55,120,25,0.3,2,105
156,65,3,33,0.4,6,328
157,75,3,132,1.54,1,301
158,75,4,90,1.12,2,62
159,38,3,101,1.17,2,142
160,89,2,6,0.28,1,338
162,50,3,92,1.06,3,0
163,120,1,27,0.31,1,352
164,38,7,9,0.2,2,321
165,25,1,10,0.13,1,0
168,125,4,110,1.29,1,97
169,49,2,129,1.49,1,21
170,50,1,2,0.1,1,0
172,35,3,5,1.17,1,316
173,70,3,22,0.28,1,15
174,195,3,7,0.46,1,0
176,200,7,31,0.35,1,323
180,51,1,7,0.09,2,291
183,60,30,16,0.24,1,276
184,45,2,29,0.39,1,328
187,45,2,6,0.08,1,0
188,50,2,2,0.05,4,113
189,110,5,29,0.34,1,3
190,95,1,19,0.5,2,355
191,75,14,41,0.48,1,136
193,65,5,51,0.6,2,311
194,65,4,35,0.48,2,276
195,46,3,106,1.23,1,236
196,65,60,7,0.09,1,104
197,28,1,130,1.56,3,93
198,30,60,18,0.23,1,221
199,49,60,62,0.76,1,220
200,55,60,7,0.1,1,107
201,98,60,36,0.43,1,211
202,32,2,30,0.35,1,251
203,55,2,15,0.26,1,345
204,39,120,42,0.52,1,359
205,82,90,39,0.45,2,244
207,60,2,127,1.48,3,103
208,60,5,3,0.06,1,212
209,43,2,5,0.13,2,277
210,85,8,7,0.09,1,307
212,58,4,80,0.96,1,271
213,55,90,101,1.19,2,191
214,30,1,55,0.67,3,27
215,31,3,146,4.33,3,0
216,35,5,16,0.2,2,159
217,45,2,105,1.37,1,232
218,100,4,42,0.53,1,274
220,95,5,1,0.16,2,272
221,63,2,73,1.02,6,251
222,175,2,24,0.55,1,362
224,120,1,150,1.9,2,81
225,64,2,69,1.53,1,325
227,29,1,62,0.73,1,349
228,150,3,104,1.27,1,302
229,76,2,32,0.42,2,311
230,79,2,67,0.92,2,291
231,23,30,3,0.05,2,0
232,19,30,6,0.08,2,129
233,49,1,119,1.49,6,243
234,45,14,12,0.15,3,0
235,45,2,5,0.12,1,0
236,91,3,148,1.78,1,311
237,69,2,114,1.49,1,211
238,70,90,44,0.56,1,270
239,55,4,3,0.04,1,0
240,45,3,6,0.08,4,310
241,50,7,3,0.04,4,310
242,55,3,8,0.1,4,279
243,93,3,14,0.26,4,236
244,175,2,94,1.13,2,158
245,95,3,14,0.18,4,319
246,52,3,28,0.36,2,0
247,59,3,18,0.32,1,309
248,58,3,4,0.06,4,238
249,72,3,1,0.05,4,283
250,95,3,7,0.65,4,211
251,40,1,26,0.34,1,322
252,55,1,30,0.36,1,35
253,79,2,51,0.6,1,308
254,56,60,2,0.02,1,290
255,32,2,111,1.49,1,251
256,32,2,40,0.5,3,279
257,32,2,131,1.68,3,146
258,28,2,30,0.36,3,304
259,49,3,63,1.18,2,35
260,70,91,6,0.13,1,190
261,80,93,95,1.11,3,97
262,75,93,99,1.2,3,305
263,55,3,112,1.45,1,44
264,65,3,79,0.95,1,254
265,96,2,142,2.83,1,244
266,51,3,35,0.47,2,275
267,33,1,74,0.97,1,355
268,59,2,69,0.95,3,219
269,99,2,113,1.37,1,91
271,148,5,66,0.78,1,124
272,55,1,37,0.67,1,295
273,69,5,9,0.17,1,48
276,55,3,72,0.85,4,220
277,60,2,129,1.55,3,97
279,45,2,3,1.02,1,90
281,75,5,1,0.03,2,364
282,60,1,4,0.07,14,285
283,19,1,1,0.03,14,12
284,29,1,4,0.09,14,320
285,29,1,1,0.03,14,235
286,9,1,10,0.23,14,276
287,9,1,5,0.09,14,275
288,9,1,58,0.73,14,319
289,9,1,25,0.42,14,318
290,9,1,73,0.96,14,314
291,55,93,11,0.14,1,66
292,85,3,5,0.1,1,243
293,48,7,30,0.39,1,0
294,55,62,40,0.51,1,322
295,129,2,89,1.11,1,0
296,69,2,42,0.74,1,94
297,46,3,16,0.33,1,158
298,55,3,56,0.75,4,268
299,53,5,14,0.21,1,311
300,65,1,2,0.49,1,0
302,70,5,58,0.74,1,7
304,125,3,64,0.84,1,296
305,61,4,6,0.1,2,0
306,64,62,18,0.23,2,37
307,60,3,126,1.57,1,0
308,65,3,28,0.35,1,0
309,80,3,23,0.28,1,0
310,55,2,81,1.05,2,334
311,70,2,39,0.51,1,338
312,50,90,104,1.25,4,341
313,59,60,50,0.6,4,314
314,65,3,67,0.81,2,0
315,40,20,4,0.06,1,250
316,76,2,42,0.52,1,365
317,45,270,86,1.03,1,190
320,34,30,15,0.23,3,280
321,50,3,18,0.23,3,0
322,34,30,18,0.27,3,249
323,75,1,3,0.08,1,0
324,65,5,8,0.1,1,61
325,80,60,18,0.28,1,3
326,120,4,10,0.14,1,0
328,54,3,27,0.91,1,119
329,29,2,21,0.27,2,227
330,30,10,17,0.22,2,325
331,40,85,15,0.29,1,119
332,64,2,57,0.77,2,0
333,55,90,109,1.32,4,108
334,66,3,66,0.98,2,0
335,66,2,31,0.4,1,343
338,60,2,97,1.18,3,108
340,70,4,3,0.11,1,0
341,38,45,35,0.46,1,177
342,69,2,8,0.16,1,0
343,35,2,8,0.26,2,121
344,65,3,12,0.14,1,0
345,235,3,127,1.62,1,276
346,38,30,1,0.05,9,67
347,54,60,44,0.54,1,176
348,30,2,142,1.8,1,27
349,31,90,4,0.14,1,159
351,45,2,76,0.98,2,30
352,43,2,47,0.63,1,339
353,77,7,56,0.83,2,268
354,38,4,92,1.7,1,0
356,44,2,46,0.59,3,227
357,149,1,126,1.55,3,347
360,27,3,52,0.64,11,220
361,27,3,56,0.69,11,352
362,27,3,121,1.49,11,349
363,27,3,147,1.84,11,341
365,30,3,1,0.06,2,0
366,30,4,1,0.06,2,0
367,55,3,27,0.35,1,73
368,28,3,43,1.12,1,275
369,72,3,14,0.18,1,0
370,35,5,12,0.15,1,0
371,40,3,24,0.33,1,20
372,70,5,34,0.86,1,7
373,48,2,8,0.1,1,258
374,54,90,133,1.68,3,0
375,38,90,6,0.08,1,36
376,95,4,16,0.2,1,304
378,65,10,87,1.08,1,323
379,49,2,43,0.56,1,190
380,60,1,138,2.42,2,314
381,70,2,141,1.89,2,247
382,48,30,4,0.1,1,307
383,50,6,77,0.95,1,0
384,35,2,81,1.01,2,0
385,65,5,19,0.27,1,0
386,29,10,38,0.48,1,286
387,74,6,5,0.1,1,352
388,60,14,1,0.01,1,159
389,48,2,108,1.69,1,252
390,59,3,58,0.73,1,4
391,36,2,65,1.02,7,23
393,36,90,121,1.55,3,160
395,78,5,9,0.11,1,0
396,49,2,16,0.55,1,362
398,33,62,19,0.25,3,0
399,33,62,23,0.31,3,0
400,33,62,10,0.15,3,0
401,60,2,41,0.52,1,3
402,48,4,1,0.03,1,0
403,40,4,54,0.68,1,363
404,45,30,12,0.16,1,0
405,25,3,75,0.94,1,328
407,49,90,15,0.23,1,221
408,67,180,54,0.68,3,12
409,33,1,19,0.28,1,153
410,65,180,34,0.45,3,1
411,80,20,15,0.19,1,58
412,86,4,26,0.34,1,173
413,75,12,5,0.1,1,0
414,40,3,108,1.47,2,312
415,51,60,139,1.78,2,147
416,130,5,42,0.55,1,0
417,80,4,10,0.54,1,310
418,99,3,148,1.95,1,216
419,180,2,12,0.15,1,365
420,25,10,6,0.08,1,28
421,50,3,11,0.14,1,0
422,36,60,15,0.28,1,362
423,39,90,9,0.18,2,155
424,64,3,32,0.6,1,68
425,100,3,51,0.65,1,0
426,65,6,8,0.2,1,201
427,70,2,115,4.49,2,140
428,85,2,90,1.13,2,127
429,65,3,44,0.56,4,246
431,39,2,18,0.35,7,0
432,22,2,28,0.5,1,330
433,51,2,86,1.1,1,339
434,29,2,21,0.26,1,0
435,37,60,9,0.12,1,72
436,50,5,26,0.33,2,62
437,60,3,10,0.13,1,295
439,59,7,7,1.11,1,0
440,56,180,19,0.32,3,0
441,48,2,141,2.06,1,150
443,109,60,55,0.69,1,155
444,130,5,6,0.09,1,252
445,90,2,13,0.17,1,339
447,70,2,77,1.02,1,352
448,60,2,14,0.18,1,0
449,209,2,10,0.13,2,5
450,70,4,9,0.11,1,0
451,44,3,27,0.34,1,18
452,34,3,75,1.75,1,0
453,30,1,17,0.22,2,243
454,33,5,5,0.06,1,0
455,95,60,67,0.87,2,325
456,35,2,111,1.42,1,286
457,47,30,14,0.25,1,50
458,189,3,107,1.4,1,344
460,85,3,42,0.54,2,93
462,58,5,8,0.13,1,0
463,53,4,73,0.94,2,146
464,45,3,41,0.52,1,304
465,35,1,12,0.15,1,0
466,65,3,76,0.98,1,304
467,65,3,57,0.74,1,284
470,45,1,16,0.21,1,0
471,50,7,3,0.04,1,0
475,39,7,5,0.08,1,0
476,98,3,7,0.09,2,0
477,65,3,6,0.14,1,0
478,80,2,45,0.58,1,293
479,37,5,5,0.06,1,31
480,35,5,47,1.12,1,308
481,50,7,2,0.05,1,0
482,35,5,10,0.5,1,7
483,235,4,51,0.67,2,347
484,55,3,149,2.73,1,297
485,60,17,17,0.22,2,67
486,115,3,99,1.28,1,66
489,37,7,1,0.04,1,0
490,52,14,35,0.46,1,255
491,99,2,61,0.79,2,269
492,51,3,5,0.22,1,282
493,160,3,2,0.05,1,0
494,63,4,10,3.8,1,11
496,40,3,7,0.17,1,0
497,90,3,90,1.17,2,153
499,100,4,44,0.59,1,214
500,64,6,3,0.08,1,0
502,80,3,72,0.95,1,30
503,38,150,3,0.04,1,153
505,80,4,15,0.2,3,0
506,80,4,3,0.05,3,0
508,99,2,2,0.03,4,0
509,40,3,37,0.48,1,62
510,38,2,26,1.55,2,313
511,70,30,3,0.04,1,159
512,85,3,8,0.35,1,0
513,39,6,9,0.12,1,0
514,79,1,2,0.03,1,0
515,50,1,8,1.59,1,260
516,69,20,15,0.28,1,0
517,59,3,110,1.43,1,42
518,60,2,1,0.02,4,0
519,120,3,5,0.07,1,248
520,50,1,2,1.82,1,0
521,70,7,6,0.08,1,323
522,30,1,10,0.13,1,0
523,75,3,29,0.67,2,329
524,46,2,146,1.89,2,297
525,60,10,15,0.28,1,0
526,75,3,18,1.28,2,12
527,33,1,123,1.61,1,324
528,50,2,22,0.29,1,0
529,49,2,50,0.7,1,273
530,50,30,35,0.46,1,341
533,120,2,6,0.17,1,0
534,48,3,6,0.08,1,0
535,15,1,2,0.06,1,0
536,65,2,38,0.51,2,0
537,23,93,76,1.04,1,109
538,45,7,24,0.34,1,30
539,76,4,117,1.52,3,284
540,70,3,37,0.5,1,0
541,30,3,3,0.04,1,0
542,50,3,24,0.42,2,342
544,30,30,23,0.3,2,98
545,45,2,7,0.09,1,0
546,100,3,103,1.34,1,184
547,50,2,46,0.6,2,0
548,33,2,20,0.33,1,0
549,55,60,86,1.13,1,289
550,48,60,36,0.47,2,321
551,60,3,29,0.58,2,343
552,25,3,25,0.33,2,143
553,70,3,11,0.22,1,265
554,50,3,5,0.07,1,0
555,65,3,99,1.44,1,59
556,35,6,4,0.07,1,0
557,160,4,61,1.9,2,26
558,140,4,43,1.39,2,69
559,70,14,3,0.04,2,0
560,70,2,9,0.35,1,0
561,31,1,19,0.26,3,364
562,65,5,7,0.09,1,0
563,98,30,74,0.98,3,353
564,120,60,54,0.72,1,310
565,76,5,47,0.62,1,0
566,80,8,9,0.12,2,0
567,44,4,67,0.9,1,242
568,75,3,59,0.78,1,306
570,95,3,19,0.25,1,190
571,235,2,26,0.35,3,9
572,100,3,17,0.22,1,2
573,37,2,116,2.71,1,341
575,80,3,45,0.6,2,361
576,45,3,13,0.17,1,0
577,60,6,30,0.4,1,0
578,36,3,49,0.65,1,0
579,85,3,44,0.66,1,0
580,55,93,110,1.63,1,217
581,35,2,7,0.11,1,0
582,24,3,7,0.09,1,0
583,49,2,17,0.29,3,0
584,99,3,29,0.54,1,331
585,100,4,9,0.12,1,0
586,35,2,10,0.26,4,5
587,30,6,52,0.69,1,9
588,109,5,13,0.17,1,0
589,34,3,34,0.46,1,13
590,35,5,2,0.03,1,0
591,102,1,150,1.99,1,325
592,29,4,2,0.04,1,0
593,69,2,15,0.2,1,67
595,35,14,2,0.03,1,0
596,45,3,79,1.27,1,346
597,19,1,66,0.87,1,0
598,85,4,10,0.14,3,0
599,39,2,42,1.66,1,90
600,89,2,69,0.91,1,1
601,40,4,1,0.07,1,0
603,65,4,2,0.03,1,0
604,45,7,4,0.05,1,0
607,95,4,66,0.89,1,22
608,50,14,106,1.64,1,80
610,69,4,139,1.95,1,7
611,27,3,87,1.17,1,128
612,39,15,3,0.08,1,0
613,120,5,24,0.32,1,20
614,35,2,122,1.62,1,362
615,75,61,55,0.74,2,108
616,80,2,5,0.07,1,0
617,40,14,12,0.16,3,0
618,200,3,10,0.2,2,0
619,50,65,31,0.49,1,253
620,25,1,5,0.12,1,0
621,78,2,16,0.22,1,310
622,37,3,47,0.63,1,59
623,75,1,18,0.27,2,0
624,50,5,24,0.34,1,309
625,33,1,39,0.53,2,0
626,208,6,5,0.18,1,0
627,80,10,5,0.07,2,88
628,45,1,104,2.09,1,227
629,68,2,38,0.6,1,0
630,20,2,97,1.29,1,0
631,35,10,4,0.05,1,0
632,79,3,62,1.17,2,335
633,44,4,50,0.99,2,234
635,50,2,19,0.26,1,0
636,78,2,20,0.38,1,2
638,95,3,6,0.09,1,0
639,55,4,35,0.47,1,0
641,78,3,106,2.0,1,50
642,55,4,4,0.25,1,0
643,34,2,100,1.36,1,218
644,100,4,2,0.03,1,0
646,59,3,9,0.16,1,298
647,100,10,18,0.25,4,5
649,195,3,77,1.14,2,180
650,35,2,32,0.61,4,329
651,80,3,8,0.13,1,0
653,100,2,49,0.72,1,247
654,38,1,1,0.03,1,0
655,73,4,12,0.16,1,0
656,70,16,14,0.2,1,251
657,45,3,123,1.67,1,54
659,160,3,68,1.24,1,45
662,80,3,61,0.83,1,14
663,50,6,39,0.53,1,0
664,35,2,1,0.06,1,0
665,34,3,130,1.76,3,0
666,45,7,2,0.12,1,0
667,55,2,35,0.54,1,251
668,49,240,1,0.05,3,364
669,39,3,68,0.92,3,0
670,89,5,34,0.6,1,344
671,65,3,44,0.66,4,322
672,68,5,1,0.03,1,0
673,32,6,68,0.92,1,137
674,59,2,32,0.45,1,251
675,16,2,76,1.03,1,43
677,38,3,63,0.86,2,154
678,100,5,18,0.34,2,234
679,75,3,13,0.18,1,314
680,60,5,113,1.53,1,7
681,45,4,24,0.43,1,308
682,35,3,2,0.17,2,0
684,100,2,22,0.31,1,190
685,65,1,8,0.15,1,364
687,52,2,7,0.11,2,344
688,65,2,42,0.68,2,77
689,60,5,5,0.07,1,2
690,98,3,49,0.66,1,0
691,30,2,1,0.04,1,290
692,47,30,11,0.16,2,272
693,35,120,9,0.14,1,207
695,110,7,41,0.54,1,321
696,51,60,38,0.52,1,310
697,38,3,12,0.17,1,0
698,60,5,20,0.28,1,0
699,45,4,117,1.6,1,42
701,63,3,21,0.32,1,315
702,45,3,31,0.53,2,354
703,120,3,82,1.14,1,42
705,150,3,119,1.89,1,297
706,52,90,137,1.91,3,214
707,80,1,2,0.18,3,0
708,55,25,71,1.0,3,185
709,60,5,64,0.9,1,46
710,107,1,70,1.04,1,247
711,30,2,130,1.83,2,316
712,29,1,138,2.04,2,340
713,90,60,10,0.15,3,310
714,70,3,27,0.41,1,273
715,100,5,5,0.08,1,35
716,45,2,35,0.51,1,364
717,55,14,4,0.06,1,0
718,92,3,143,2.04,1,333
719,69,4,10,0.15,1,0
720,50,1,3,0.06,1,0
721,45,3,5,0.1,1,0
722,36,2,148,2.08,1,155
723,67,4,13,0.21,1,12
724,79,3,41,0.58,1,309
726,68,1,54,0.76,3,364
729,55,5,133,1.91,1,117
730,35,2,68,0.97,1,312
733,190,3,2,0.05,1,329
734,150,1,18,0.29,1,0
736,50,23,55,0.85,3,137
737,62,5,3,0.05,1,0
738,29,2,7,0.14,1,294
739,54,1,5,0.17,1,331
740,75,61,20,0.28,3,279
741,75,61,18,0.25,3,282
742,85,3,2,0.03,1,0
743,79,5,12,0.18,1,129
745,89,10,1,0.02,1,0
746,455,2,72,1.01,1,264
747,55,4,19,0.3,4,0
749,70,2,19,0.43,1,63
750,85,3,17,0.62,4,0
751,30,1,2,0.04,1,0
752,60,1,1,0.02,1,0
753,95,2,149,2.16,3,0
754,50,2,67,1.01,1,0
755,40,8,10,0.14,1,0
757,79,3,16,0.38,1,132
759,79,3,15,0.21,1,0
760,50,3,7,0.11,1,0
761,85,5,4,0.06,1,0
764,55,30,15,0.21,1,17
765,47,3,1,0.03,1,0
766,2228,1,53,0.74,4,0
767,197,5,3,0.48,1,0
768,79,5,16,0.24,1,0
769,40,3,7,0.1,1,326
770,85,28,47,0.66,1,207
771,90,5,10,0.14,1,0
772,40,2,70,0.99,1,0
773,45,1,28,1.13,1,0
774,62,3,106,1.58,2,278
775,45,3,19,0.33,1,262
776,95,2,70,1.0,5,316
777,55,2,2,0.07,1,0
778,49,1,10,0.14,1,0
779,42,2,108,1.52,1,59
780,106,60,24,0.37,1,263
781,45,2,50,0.71,1,220
782,30,185,17,0.24,1,319
783,69,60,122,1.71,2,124
784,88,5,16,0.22,1,51
785,50,5,6,0.09,1,365
787,80,3,39,0.55,1,37
788,61,90,44,0.62,1,328
789,35,4,13,0.21,1,2
790,45,3,49,0.75,1,35
792,79,11,23,0.32,1,310
793,72,1,11,0.2,1,0
794,59,4,11,0.4,1,248
795,65,4,13,0.2,1,0
796,30,3,6,0.08,2,0
797,45,90,21,0.32,1,314
798,75,59,112,1.68,4,193
799,50,7,1,0.02,1,0
800,90,5,14,0.2,1,0
801,50,5,3,0.04,1,0
802,75,4,17,0.24,1,310
804,100,3,23,0.43,2,78
805,31,60,2,0.03,5,114
806,31,90,3,0.07,5,158
807,49,60,26,0.37,2,130
808,42,3,11,0.17,1,362
809,31,90,1,0.02,5,279
810,90,3,15,0.25,3,252
811,62,3,113,2.1,2,310
812,105,5,14,0.2,1,365
813,100,90,27,0.39,4,29
814,110,180,32,0.49,4,221
815,30,2,25,0.39,4,284
816,80,90,40,0.59,2,304
