,room_type
0,0
1,1
2,0
3,1
5,0
6,0
8,0
11,0
12,0
13,0
15,0
16,0
17,0
19,0
20,0
21,0
22,0
24,1
25,0
26,0
27,1
28,1
31,0
32,0
33,1
34,1
35,1
36,1
37,0
38,0
39,1
40,1
42,0
43,0
45,0
48,0
49,0
50,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,1
63,0
65,0
66,0
67,0
69,0
71,0
73,0
74,1
76,0
77,0
78,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
91,0
92,0
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
105,0
106,0
107,0
108,0
109,0
110,0
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,0
136,1
138,0
139,1
140,0
141,0
142,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
156,0
157,1
158,0
159,1
160,1
162,0
163,0
164,1
165,1
168,0
169,1
170,0
172,1
173,0
174,0
176,1
180,1
183,0
184,1
187,0
188,0
189,0
190,1
191,0
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
207,1
208,0
209,0
210,0
212,1
213,1
214,1
215,1
216,1
217,0
218,0
220,0
221,0
222,0
224,0
225,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,0
271,0
272,0
273,0
276,0
277,1
279,1
281,0
282,1
283,1
284,1
285,1
286,2
287,2
288,2
289,2
290,2
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
302,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,1
338,1
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,0
351,1
352,1
353,0
354,1
356,0
357,0
360,1
361,1
362,1
363,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,0
375,0
376,0
378,0
379,1
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,0
390,0
391,1
393,0
395,0
396,1
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,0
429,0
431,1
432,1
433,1
434,1
435,0
436,0
437,1
439,1
440,0
441,0
443,0
444,0
445,0
447,0
448,0
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,0
460,0
462,0
463,0
464,1
465,1
466,0
467,0
470,1
471,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,1
483,0
484,0
485,0
486,0
489,0
490,0
491,0
492,0
493,0
494,0
496,1
497,1
499,0
500,0
502,0
503,0
505,0
506,0
508,0
509,1
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,1
521,0
522,1
523,0
524,0
525,0
526,0
527,1
528,0
529,1
530,0
533,1
534,0
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,0
544,1
545,0
546,0
547,1
548,1
549,0
550,0
551,0
552,1
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,1
568,0
570,0
571,0
572,0
573,0
575,0
576,0
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,0
585,0
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,0
595,0
596,1
597,1
598,0
599,0
600,0
601,0
603,0
604,0
607,0
608,1
610,0
611,1
612,0
613,0
614,1
615,0
616,0
617,1
618,0
619,0
620,1
621,0
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,1
630,1
631,0
632,0
633,0
635,0
636,0
638,0
639,1
641,0
642,0
643,1
644,0
646,0
647,0
649,0
650,1
651,1
653,0
654,0
655,0
656,0
657,1
659,0
662,0
663,0
664,1
665,1
666,0
667,1
668,0
669,1
670,0
671,0
672,0
673,1
674,0
675,1
677,1
678,1
679,0
680,0
681,1
682,1
684,1
685,1
687,0
688,0
689,0
690,0
691,1
692,0
693,0
695,0
696,0
697,1
698,0
699,1
701,0
702,1
703,0
705,0
706,0
707,1
708,0
709,0
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,0
726,0
729,0
730,1
733,0
734,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
745,1
746,0
747,0
749,0
750,0
751,1
752,1
753,0
754,0
755,1
757,0
759,0
760,0
761,0
764,0
765,0
766,1
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,1
782,0
783,0
784,0
785,1
787,0
788,0
789,0
790,0
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,0
800,1
801,0
802,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,1
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,1
824,0
825,1
826,0
827,1
829,0
830,1
831,0
832,0
833,1
835,1
836,0
837,0
839,0
840,1
841,1
842,1
843,1
844,0
845,0
846,0
847,1
848,0
850,0
851,0
852,1
853,1
854,1
855,0
856,1
857,1
858,0
859,0
860,1
861,0
862,1
863,0
864,1
866,1
867,1
868,0
870,0
871,0
874,0
877,0
880,0
881,1
882,0
883,1
885,0
886,0
887,1
888,0
890,0
891,0
892,0
893,1
895,0
896,0
897,0
898,1
899,1
900,0
901,1
902,1
903,1
904,1
905,1
907,0
908,0
909,1
911,1
912,0
913,0
915,1
916,1
917,1
918,0
919,1
920,0
921,1
922,0
923,0
924,0
925,1
926,1
927,1
928,1
929,1
930,1
931,0
932,0
934,1
935,1
936,1
937,0
938,1
939,0
940,1
941,0
942,0
944,0
945,1
946,1
948,1
950,0
951,0
952,1
953,1
954,0
955,0
956,1
958,1
959,0
960,0
963,1
964,0
965,1
967,1
969,1
970,0
971,0
973,1
975,0
976,0
977,0
978,0
979,1
980,1
981,1
982,0
983,0
984,0
985,0
986,1
987,0
988,0
989,1
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1032,1
1033,1
1034,1
1035,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,0
1044,0
1046,1
1047,1
1048,0
1050,0
1051,0
1053,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,1
1063,0
1065,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1075,1
1076,0
1078,0
1079,0
1081,0
1082,0
1083,0
1085,0
1086,0
1087,0
1089,0
1090,0
1092,0
1093,0
1094,1
1095,0
1096,0
1099,0
1100,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,0
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1129,0
1130,1
1131,0
1132,1
1133,0
1134,1
1135,1
1137,0
1138,0
1139,0
1140,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1162,1
1163,0
1164,1
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1172,0
1173,1
1174,0
1175,0
1177,0
1178,0
1179,0
1180,0
1181,1
1183,1
1184,0
1185,0
1186,0
1187,1
1188,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,2
1198,0
1199,0
1200,1
1201,1
1202,0
1203,1
1205,1
1206,0
1207,1
1208,1
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
